Review,Rating,Date,Translated_Review
Gak recommended,1,2023-07-10 09:19:23,Gak recommended
timeout terus,1,2023-07-10 08:42:50,timeout keeps happening
sangat jelek,1,2023-07-10 08:42:36,very ugly
"Jelek, dibiarin aja sama pemerintahnya, mentang2 udh cair proyek pembuatan aplikasinya 😥",1,2023-07-10 08:23:59,"Bad, the government just let it be, just because the application development project has been disbursed 😥"
"Tidak bisa buat akun baru,parah tidak diperbaiki aplikasi ini",1,2023-07-10 07:38:10,"Can't create a new account, this app is too bad, can't be fixed"
Error,1,2023-07-10 07:30:13,Error
Errorrrrrrr oiiii..,1,2023-07-10 07:10:46,Errorrrrrrr oiiii..
"Setelah mengikuti 5 dan 8 langkah, aplikasi ga bs lanjut ke langkah berikutnya. Padahal data2 sdh diinput dg benar. Beberapa kali dicoba ttp tdk bisa. Heran institusi sbesar ini kok aplikasinya jelek",1,2023-07-10 06:53:59,"After following 5 and 8 steps, the application cannot proceed to the next step. Even though the data has been inputted correctly. Tried several times but still can't. It's surprising that an institution this big has a bad application."
Aplikasi apa ini daftar akun pun ga bisa ga guna,1,2023-07-10 06:53:35,"What application is this, can't even register an account, it's useless"
Aplikasi yg bukan mempermudah malah tambah bikin susah buat pasport. Mana selalu dan sering eror. Kl aplikasi blm sempurna jangan di terbitkan. Tlpn ke pihak imigrasi jga suruh chat. Chat balasnya lambat dan tdk ada solusi.,1,2023-07-10 06:50:12,"The application that does not make it easier but makes it more difficult to get a passport. Which always and often errors. If the application is not perfect, do not publish it. Call the immigration office and ask for a chat. The chat response is slow and there is no solution."
"Gini kali ya jadi masyarakat sipil, pelayanan passport wajib online tapi sistem tidak valid terus (bermasalah), pelayanan offline wajib bayar satu juta (belum termasuk biaya passport)",1,2023-07-10 06:42:53,"This is what it's like to be a civil society, passport services must be online but the system is always invalid (problematic), offline services must pay one million (not including passport fees)"
tolong dvfalofer nya email yg kmi kait kan selalu bermasalah saat ingin mendaftar,1,2023-07-10 04:36:31,"Please help us by providing the email we linked, it always has problems when we want to register."
Aplikasinya sering error udh input data cukup lengkap kereset dari awal lagi,1,2023-07-10 04:27:42,"The application often errors, even after inputting quite complete data, it resets from the beginning again."
Aplikasi sampah gak berguna sama sekali . Mau daftar aj susah amat . Email tidak valid . Pdhal jelas2 it email saya . Kalo mau bikin apk it yg bagus . Jngn apk sampah kaya gini di bikin . Sampah sampah sampah,1,2023-07-10 04:24:37,"Garbage application is useless at all. It's so hard to register. Email is invalid. Even though it's clearly my email. If you want to make a good apk, don't make a garbage apk like this. Garbage, garbage, garbage"
Dari pemerintah anjurkan daftar online tp apk nya kaya gitu apa harus viral baru di betulkan😑asil bukan permuda tp persuli bnya yg erro,1,2023-07-10 03:50:37,"The government recommends online registration, but the app is like that, does it have to go viral before it can be fixed? The result is not youth but difficulties, there are many errors"
"Aplikasi tolol sistem eror mulu bilang aja mau pungli minta 2jt ke calo biar jadi. dulu antri, sekarang tambah tolol lg. Pada buta apa ya sm review masyarakat gk ada perbaikan sama sekali. Negara terkorup di dunia",1,2023-07-10 03:22:30,"Stupid application, system error, always saying that he wants to extort money, ask brokers for 2 million to make it happen. Before, there was a queue, now it's even more stupid. What are you blind to, with public reviews, there is no improvement at all. The most corrupt country in the world"
Instruksi tidak jelas kode pembayaran tidak keluar menurut intruksi harus refresh ternyata harus relog,1,2023-07-10 03:02:36,"The instructions are not clear, the payment code does not come out according to the instructions, it must be refreshed, it turns out it must be relog"
"Ini gimana? Di hari h saya mau ngeprint malah nggak bisa,. Yg herannya data udah online,. Terus ngapain musti ngeprint lagi maemunah,. Kan ada tuh scan barcode,. Harusnya kita pihak pembuat password tinggal scan doank,. Gak perlu print2 lagi,. Iya kalo emang ngeprintnya bisa,. Ini downloadnya aja kaga bisa,. Parah amat ini",1,2023-07-10 02:54:57,"What's this? On the day I want to print it but I can't. What's surprising is that the data is already online. So why do I have to print it again maemunah. There's a barcode scan. We, the password makers, should just scan it. No need to print it again. Yes, if I can print it. But I can't even download it. This is really bad."
Tidak bisa digunakan,1,2023-07-10 01:24:00,Can not be used
"aplikasi stres daftar akun aja gabisa bisa,padahal itu udah bener semua",1,2023-07-10 01:07:57,"stress application can't even register an account, even though it's all correct"
Banyak Bug nya lucu banget alat negara melayani masyarakat nya,1,2023-07-10 01:02:55,"There are many bugs, it's really funny how the state apparatus serves its people"
Mohon di perbaiki error' terus,1,2023-07-10 00:31:14,Please fix the error' continuously
"Makin hari makin buruk ini aplikasi,skrg makin jdi malah makin buruk gak bisa login selalu time out login",1,2023-07-09 23:09:12,"This application is getting worse day by day, now it's getting worse and worse, I can't log in, it always times out."
Aplikasi bisa digunakan saat tengah malam - subuh.. selebihnya error 😅 harap bersabar,3,2023-07-09 23:05:54,The application can be used at midnight - dawn.. otherwise there is an error 😅 please be patient
"Aplikasi lemot, tips gunakan dini hari sampe subuh lancar",3,2023-07-09 23:03:25,"Slow application, tips for using it from early morning until dawn smoothly"
Aplikasi nya eror GK bisa login padahal udah nunggu lama,1,2023-07-09 22:09:58,The application error cannot log in even though I have waited a long time
Sering error dan request time out. Aplikasi ampas,1,2023-07-09 17:53:30,Frequent error and request time out. Dregs application
Bad,1,2023-07-09 16:11:16,Bad
Aplikasi Tidak Bermutu.sllu Tidak Valid..Paling Buruk,2,2023-07-09 13:37:19,Bad Quality Application.sllu Invalid..Worst
"Aplikasi yg bener bener ngerepotin, setiap hari dibuka selalu request time out begitu terus di jam berapapun, sedangkan kalau kita mau bikin paspor harus pake aplikasi ini, kalau emang blm siap pakai aplikasi gak usah lah, jd serba susah. Tolonglah di tingkatkan lg",1,2023-07-09 11:59:56,"The application is really troublesome, every day when opened it always requests time out and so on at any time, while if we want to make a passport we have to use this application, if you are not ready to use the application, don't bother, it becomes very difficult. Please improve it again"
Ayolah dibenahi. Supaya bisa mempermudah masyarakat.,1,2023-07-09 10:52:16,Let's fix it. So that it can make things easier for the community.
"Aplikasi yg sangat"" buruk woy!!!!! Klau emang selalu error napa hrus mndaftar mlalui online, merepotkan bner pemerintah Konoha ini 😡 bsok saya hrus prgi k imigrasi mlah udh buat janji n udh payment mlahan..biaya ny bkan murah lg..neh mau foto copy berkas ny bgitu mau buka aplikasi ny m- Paspor ny mlah errrrroooorrrrr n errrrroorooooorrr lg..tlong yah yg buat aplikasi burik ini klw msh buruk lbh baik daftar manual aj..jgn mrepotkan org, udh bayar mlah d buat repot lg.. TA*K!!!!💩💩",1,2023-07-09 10:15:42,"Very bad application, man!!!!! If it always errors, why do you have to register online? This Konoha government is really inconvenient 😡 Tomorrow I have to go to immigration, I've already made an appointment and paid.. the fee is not cheap anymore.. I want to photocopy the documents and then open the application, the passport is errrrroooorrrr and errrrrroorooooorrr again.. please help the person who made this crappy application, if it's still bad, it's better to just register manually.. don't bother people, they've already paid but they're made to bother again.. TA*K!!!!💩💩"
Setiap mendaftar selalu di bilang email tidak valid,1,2023-07-09 07:02:00,"Every time I register, it always says the email is invalid."
"sudah mengisi data secara lengkap ternyata kantor imigrasi ssh full quota. merubah/edit lokasi kantor imigrasi TDK BISA. Menurut info ada fasilitas pencarian kantor imigrasi yg blm full quota, kenyataannya Ng da atau TDK mudah bagi user mencari menu tsb. terlalu ribet dan ternyata",1,2023-07-09 06:24:13,"I have filled in the data completely, it turns out that the SSH immigration office is full quota. Changing/editing the location of the immigration office is NOT POSSIBLE. According to the information, there is a search facility for immigration offices that are not yet full quota, in reality, there is no or it is NOT easy for users to find the menu. It is too complicated and it turns out that"
"Bisa bisanya email tidak valid (padahal email yg saya pakai saya gunakan untuk data capil) dan nomor handphone sudah digunakan orang lain, kudu gimana nih.. Mohon solusinya",1,2023-07-09 04:33:04,"It could be that the email is invalid (even though I use the email for civil registration data) and the cellphone number has been used by someone else, what should I do? Please provide a solution."
kalo g niat buka pasfor hupus aja apk ya..saya daftar gagal trus..apa apan ini apk bikin emosi aja...,1,2023-07-09 04:24:06,"If you don't intend to open your password, just delete the app.. I keep failing to register.. what is this app, it just makes me emotional..."
"Ini gimana mau daftar kok muncul notifikasi ""email tidak valid"", mau pakai email apalagi 😩. Masih lebih baik aplikasi yang lama.",1,2023-07-09 04:17:53,"How can I register? A notification appears saying ""invalid email"", what other email should I use 😩. The old app is still better."
"Error error dan error, perbaiki aplikasinya lah gak bisa daftar yg email tidak valid dll buruk, lagi membutuhkan malah zonk gak bisa di gunakan",1,2023-07-09 03:29:48,"Error error and error, fix the application, you can't register if your email is invalid, etc. It's bad, when you need it, it's a dud and can't be used."
Kacau aplikasi..apa gak ada yg ngurus aplikasi ini..mohon diperbaiki sistem..masak time out terus...,1,2023-07-09 01:06:03,The application is messed up..isn't there anyone taking care of this application..please fix the system..it keeps timing out...
Aplikasi Yang Nggak jelas,1,2023-07-09 00:40:55,Unclear Application
"Aplikasi time out, uninstal ulang, pas login suruh verified gambar puzzle, gambarnya aja ga bisa di geser. Gimana ini. Seminggu kedepan ada jadwal ke kantor imigrasi, nanti ga bisa liat kode barcodenya. Udah byr 650rb jgn sampai batal hanya karena sistem yg error. Coba cek lg developernya",1,2023-07-08 23:27:52,"The application times out, reinstalls, when logging in it asks for a verified puzzle image, the image itself cannot be moved. What should I do? Next week there is a schedule to go to the immigration office, then I won't be able to see the barcode. I've paid 650 thousand, don't cancel it just because of a system error. Try checking the developer again"
Email saya sudah benar dan ada. Namun sistemnya tak mampu mengecek email. Selalu gagal daftar,1,2023-07-08 23:15:42,My email is correct and exists. But the system is unable to check the email. Always fails to register
"Mengurus paspor sekarang sangat mudah, tidak lama, dan waktu masa berlakunya sudah 10 tahun sangat memuaskan",5,2023-07-08 22:06:22,"Taking care of a passport is now very easy, doesn't take long, and the validity period is 10 years, which is very satisfying."
Knp setiap bikin akun tdk bisa,1,2023-07-08 14:15:24,Why can't I create an account?
tidak bisa registrasi aplikasi sampah,1,2023-07-08 13:29:45,can't register trash app
Error always..pas lagi butuh²nya,1,2023-07-08 13:18:36,Error always..when I need it
"Tolonglah app nya di perbaiki dulu,udah seharian mau log ini gabisa bisa, daftar akun baru malah email nggak valid...",1,2023-07-08 11:35:43,"Please fix the app first, it's been a day and I can't log in, even when I register a new account the email is invalid..."
Emg udah bagus korupsi aja gaush buat aplikasi,1,2023-07-08 11:02:35,"It's already good, don't make corruption into an application"
Gk fungsi,1,2023-07-08 09:37:46,Not functioning
Apk beler,1,2023-07-08 09:14:07,Apk beler
Gagal trus,1,2023-07-08 05:25:59,Keep failing
"APLIKASI SAMPAH, MAU DAFTAR AJA SUSAH, ADA AJA KENDALANYA,,,,,",1,2023-07-08 04:37:10,"GARBAGE APPLICATION, JUST REGISTERING IS DIFFICULT, THERE ARE ALWAYS OBSTACLES,,,,"
"Tolong itu benerin dan seriusin aplikasinya supaya mempermudah pengguna, soalnya tiap ke imigrasi harus daftar di mpaspor sedang aplikasinya error Mulu, kode otp udh bener tetep tidak valid.....",1,2023-07-08 04:14:58,"Please fix it and make the application more serious so that it makes it easier for users, because every time they go to immigration, they have to register at the port, while the application keeps giving errors, the OTP code is correct but it is still invalid....."
"Udah repot2 ngisi, tiba2 eror, ngulang lagi dari awal. Bisa nyampe langkah ke 7. Langkah ke 8 (terakhir) ga bisa pilih tanggal kedatangan. Gila sih. 2 jam waktuku terbuang tanpa hasil apapun.",1,2023-07-08 03:54:37,"I've been bothering to fill it in, then I get an error, I have to repeat it from the beginning. Can reach step 7. Step 8 (last) can't choose arrival date. It's crazy. 2 hours of my time wasted without any result."
Aplikasi bug,1,2023-07-08 03:13:53,Bug application
Kenapa gk bisa di klik tanggal kedatangan nya ? Udh nunggu 1 minggu . Bisa offline aja gk si bikin ny. Mumet deh bolak balik cek terus. Niat nya online kan mempermudah.,2,2023-07-08 01:47:03,Why can't I click on the arrival date? I've been waiting for 1 week. Can't you just do it offline? It's a hassle to keep checking back and forth. The intention of going online is to make things easier.
"Ribet dibagian pendaftaran nya gak bisa bisa, mana harus daftar online tapi error Mulu padahal kebutuhan mendadak🥲",1,2023-07-08 00:44:34,"It's complicated in the registration section, it can't be done, where you have to register online but it always gives an error even though it's a sudden need🥲"
"parah bgt sih aplikasinya. tiap mau login, selalu layarnya ngeblank. udh d coba pake wifi ga bisa, pake data seluler pun ga bisa. lebih simple aplikasi yg dulu warna merah itu sih drpda yg skrg. yg merah itu ga prnh ada kendala apa2. yg ini mau login doang aja susaaaah bgt",1,2023-07-07 14:26:58,"The application is really bad. every time I want to log in, the screen always goes blank. I've tried using wifi and it doesn't work, it doesn't work using mobile data either. the red application used to be simpler than the current one. The red one doesn't have any problems. This one just wants to login, it's so easy"
Eror terus,1,2023-07-07 13:21:10,Error continues
gimana sih ini aplikasi asik eror aja .menyusahkan orang bukannya mempermudah .orang juga buat pasport ada keperluan,1,2023-07-07 12:27:14,"How come this application is fun, it's just giving errors. It makes things difficult for people instead of making things easier. People also need to make passports"
Aplikasi ganjelas,1,2023-07-07 11:30:46,Ganjelas application
"Eror terus parah , padahal butuh bgt",1,2023-07-07 09:26:55,"The error continues to be severe, even though it is really needed"
Demi apapun pekara OTP aja harus nunggu lama banget dan berulang-ulang dan tetap belum berhasil. Pantes banget di rate jelek,1,2023-07-07 08:29:20,"For whatever reason, the OTP case has to wait for a long time and repeatedly and still not succeed. No wonder it's rated badly"
sering gagal,1,2023-07-07 08:03:10,often fail
Mau daftar aja susah. Tolong di perbaiki,1,2023-07-07 07:19:05,It's hard to register. Please fix it.
"Aplikasi gak jelas,mempersulit pelaut,",1,2023-07-07 05:28:24,"Unclear application, makes it difficult for sailors,"
Ada aja alesannya. Keluar terus gamau masuk,1,2023-07-07 05:23:09,There's always a reason. Get out and don't want to come in
Jelek banget aplikasi nya parah udah tau lagi butuh malahh eros terus kirain gara gara kuota atau sinyal teryata emang aplikasi nya ajaa yg jelek. Benar benar menyusahkan,1,2023-07-07 05:11:31,"The application is really bad, even though I know I need it, it still drains and I thought it was because of the quota or signal, but it turns out that the application is just bad. It's really annoying."
Apa ada harapan lain?,5,2023-07-07 04:57:28,Is there any other hope?
Request time out terus tulisanya kenapa ya aplikasi dari pemerintah semuanya gada yg bener #ganti pemerintah,1,2023-07-07 04:04:53,Why does the request time out keep saying that none of the government applications are correct? #change government
"GAK BERGUNA PERCUMA ISI DATA BERKALI KALI. TOLONG LAH PIHAK IT DIPERMUDAH, BUAT CEK KETERSEDIAAN KOUTA AJA MASIH ISI DATA BERULANG CAPEK DEH",1,2023-07-07 03:26:13,"IT'S USELESS TO FILL IN THE DATA REPEATEDLY. PLEASE MAKE IT EASIER FOR IT, JUST TO CHECK THE AVAILABILITY OF QUOTE AND STILL FILL IN THE DATA REPEATEDLY, IT'S TIRED"
"Niat bwat aplikasi kgg? Mending hapus aj,biar langsung k kantor, gwsh la daftar² dii aplikasi",1,2023-07-07 03:11:08,"Do you want to make a kgg application? Better delete it, so that directly to the office, I'm registered in the application"
"Kalau memang belum siap bikin antrian online, baiknya offline aja langsung. Tolong ini menteri hukum dan HAM apa tidak memantau kinerja anak buahnya ya? Kok jelek sekali?",1,2023-07-07 02:26:29,"If you are not ready to make an online queue, it is better to go offline directly. Please, is this Minister of Law and Human Rights not monitoring the performance of his subordinates? Why is it so bad?"
Tidak bisa untuk mendownload surat pengantar kanim,1,2023-07-07 02:22:40,Unable to download the Kanim cover letter
Ga bisa ketahap selanjutnya setelah verifikasi... Pantes ratingnya jelek beud... Ternyata emang ga jelas aplikasinya,1,2023-07-07 01:35:27,Can't go to the next stage after verification... No wonder the rating is so bad... It turns out the application is really unclear
Mohon maap nih.. udah hari H pembuatan paspor app nya Malah eoror,2,2023-07-07 00:42:09,"Sorry, it's the day of making the passport, but the app is giving an error."
"Aplikasi ini apa sengaja di buat error terus supaya daftarnya lewat calo ya? Kok terkesan tidak ada perbaikan sama sekali. Duit Rakyat jangan dibuat main main, akan ada hari pembalasan kelak",1,2023-07-07 00:07:52,"Is this application intentionally made to keep erroring so that registration is done through brokers? It seems like there are no improvements at all. Don't play around with people's money, there will be a day of reckoning later"
Aplikasi sangat buruk !!,1,2023-07-06 23:23:28,Very bad app!!
SEPERTI PELAYANAN PEMERINTAH PADA UMUMNYA. RIBET,1,2023-07-06 23:22:03,LIKE GOVERNMENT SERVICES IN GENERAL. COMPLICATED
Request Time Error' Mulu,1,2023-07-06 22:43:31,Request Time Error' Mulu
"Parah, dipake susah, rewel.",1,2023-07-06 21:43:07,"Seriously, hard to use, fussy."
"Aplikasi setan, nggak jelas... Masak aplikasi negara jelek seperti ini...",1,2023-07-06 13:35:40,"Devil application, unclear... How can a country application be this bad..."
sulit sekali masuk...selalu request time out....tolong diperbaiki lagi,1,2023-07-06 12:19:07,very difficult to enter...always request time out....please fix it again
"Aplikasinya sangat jelek,, ni anggarannya kebanyakan di KORUPSI ni, makanya aplikasinya asal ada aja. Cuma bikin ribet masyarakat, zaman makin maju,semua serba online, harusnya tambah simple ni malah ribet, error terus.",1,2023-07-06 11:25:55,"The application is very bad, most of the budget is CORRUPTED, that's why the application is just there. It only makes society complicated, the era is getting more advanced, everything is online, it should be simpler, but instead it's complicated, it keeps erroring."
Aplikasi sampah. Seperti buatan anak SD. dana anggaran keluar aplikasi tidak ter urus,1,2023-07-06 09:12:54,Garbage app. Like made by elementary school kids. The budget for the app is not managed
"Bingung, Email ga valid terus, nomor telepon sudah digunakan. Padahal baru pertama kali bikin",1,2023-07-06 08:39:22,"Confused, Email is always invalid, phone number is already in use. Even though it's the first time I've made it"
"Aplikasi Gak Berguna, Lagi Proses Daftar Eror mulu, Percuma Udah Capek2 Diisi",1,2023-07-06 08:32:43,"Useless Application, During Registration Process, Error Always, It's Useless to Fill in the Form"
"Klo masih banyak bug jangan banyak gaya pake segalanya wajib online, benerin dlu kualitas aplikasi ini",1,2023-07-06 08:05:56,"If there are still a lot of bugs, don't be too flashy and make everything online, fix the quality of this application first."
Error terus.. Sebaiknya kuat kan dulu IT atau servernya.. Baru beralih ke digital,1,2023-07-06 08:01:45,Error continues.. It's better to strengthen the IT or server first.. Then switch to digital.
"Daftar aja susah minta ampun Padahal semua sudah sesuai, Giliran udah bisa Masukin otp aja tidak valid terus Bagaimana Cacat banget",1,2023-07-06 07:43:29,"It's so hard to register, even though everything is correct. When you can enter the OTP, it's always invalid. How is it so flawed?"
Udah daftar udah bayar mau confirm pengambilan paspor malah app nya error gk bisa kebuka💔,1,2023-07-06 07:33:38,"I've registered and paid, I want to confirm passport collection but the app is giving an error and won't open💔"
Aplikasi nya jelek setiap mau pakai selalu ga bisa,1,2023-07-06 07:26:05,"The application is bad, every time I want to use it, I can't."
Aplikasinya tolong di tingkatkan lagi selalu eroe,1,2023-07-06 06:58:42,"Please improve the application always, eroe"
"Sudah daftar terima OTP via email tetep tidak bisa, sudah coba sampai 13x tetep seperti itu. Lalu saya buka Google Imigrasi WTC ada nomor wa, saya coba kontak, di informasikan pembuatan bisa melalui M-Paspor atau Via WA. Semua data saya kirim via WA dan Pembayaran 1.650.000 ternyata itu nomor rekening BJB keterangan nya Pajak PNBP Cukai. Bagiamana ini, kenapa bisa ada nomor rekening PNBP Cukai? Apakah kementerian Keuangan khususnya Beacukai tau tentang hal ini?",1,2023-07-06 06:51:46,"Already registered to receive OTP via email but still can't, tried up to 13 times still like that. Then I opened Google Immigration WTC there is a WA number, I tried to contact, informed that the creation can be done via M-Passport or Via WA. I sent all the data via WA and Payment of 1,650,000 turned out to be a BJB account number, the information is PNBP Excise Tax. How is this, how come there is a PNBP Excise account number? Does the Ministry of Finance, especially Customs, know about this?"
Ga jelasss ni apk,5,2023-07-06 05:56:41,This apk is not clear
Aplikasi aneh,1,2023-07-06 05:00:19,Strange app
Aplikasi apaini suruh cek email password terus dengan test masukan kode gambar buang waktu..eror terus ini latihan anak TK apa layanan publik lucu sekali,1,2023-07-06 04:55:05,What is this application? It keeps asking you to check your email password and then test it by entering an image code. It wastes time...it keeps giving errors. Is this a kindergarten exercise or a public service? It's so funny.
"Sumpah aplikasi gak guna. masa mau daftar akun pakai alamat email sendiri muncul notifikasi email tidak valid, diganti alamat email muncul notifikasi no hp telah dipakai pengguna lain. Padahal ini baru pertama kali saya daftar seumur hidup saya. Saya ganti nomor hp muncul Terjadi kesalahan sistem. Ini aplikasi apa sih, padahal punya pemerintah loh, bikin malu saja",1,2023-07-06 04:23:17,"I swear the application is useless. When I want to register an account using my own email address, a notification appears that the email is invalid. When I change the email address, a notification appears that the cellphone number has been used by another user. Even though this is the first time I have registered in my life. When I change the cellphone number, a system error occurs. What kind of application is this, even though it is owned by the government, it is embarrassing."
Tolong di perbaiki tdk bisa buat akun,1,2023-07-06 04:08:28,"Please fix it, can't create an account"
"Urus passport dipersulit dan sangat tidak profesional. Saya bikin passport sekali di sistemnya ke deteksi 2x. Dikasih surat pembatalan, alasannya sudah diemail tp emailnya nda masuk. Uang ga dibalikin. sengaja ya? Makan uang org. Bayar double2 tp ga ada hasil🙏 Sory saya sangat kecewa soalnya diperlakukan begini.",1,2023-07-06 04:01:52,"Passport processing is complicated and very unprofessional. I made a passport once, the system detected it twice. Given a cancellation letter, the reason was that it had been emailed but the email did not come in. The money was not returned. Is it on purpose? Taking other people's money. Paying double but no results 🙏 Sorry, I'm very disappointed because I was treated like this."
Kode otp ngga bsa digunakan.padahal waktu masih ada. Udah di ketik bener jga tetep ajah kode otp tidak valid ...,1,2023-07-06 03:48:23,"The otp code cannot be used. although there is still time. It's been typed correctly, but the otp code is still invalid..."
"Sistem pembayaran nya seharusnya kalo ada kemungkinan ditolak karena kurang berkas *khusus* saat dateng ke kantor imigrasi offline seharusnya pembayaran dilakukan setelah pemohon di foto dan permohonan diterima. Kalo begini ceritanya kan merugikan masyarakat. PEMBAYARAN HANGUS, karena diwaktu yang dijadwalkan belum bisa memenuhi persyaratan yang diminta. Apalagi di waktu hanya sampai jam 12 siang. Saran, buat yang mau daftar online sebaiknya konsultasi dulu ke kantor offline.",1,2023-07-06 02:55:37,"The payment system should be if there is a possibility of rejection due to lack of *special* files when coming to the offline immigration office, payment should be made after the applicant is photographed and the application is accepted. If this is the story, it is detrimental to the community. PAYMENT IS FORFEITED, because at the scheduled time the requested requirements have not been met. Moreover, the time is only until 12 noon. Suggestion, for those who want to register online, it is better to consult with the offline office first."
"Parah aplikasi ga guna email ga valid, telpon sudah digunakan orang lain itu terus keterangan nya hadeh",1,2023-07-06 01:48:59,"Seriously, the application is useless, the email is invalid, the phone has been used by someone else, and the information is..."
"Aplikasi gk pke anggaran kale,.. Mau daftar akun aja susah.. Apalagi ngisi data nya nnt,. yg lbh aneh lg, ko gk ada respon yaa.. Padahal yg komplain sdh banyak banget,..",1,2023-07-06 01:20:36,"The application doesn't use a budget... Even if you want to register an account, it's difficult... Let alone filling in the data, please... What's even more strange is how come there's no response... Even though there have been so many people complaining..."
"Aplikasi sampah, gagal digitalisasi! Tiap mau daftar email tidak valid-lah, sistem eror-lah. Gak bisa digunakan sama sekali. sementara layanan offline gak bisa digunakan kalau belum melalui aplikasi ini. Gak ada solusi!",1,2023-07-05 21:50:02,"Trash application, failed digitization! Every time I want to register, the email is invalid, the system errors. Can't be used at all. Meanwhile, offline services cannot be used if they haven't gone through this application. There is no solution!"
"Ni apk gimana sih,apk rusak untuk di publikasikan untuk kepentingan masyarakat ,untuk developer gimana sih kok gak becus kerjaan ini apk penting loh,hadeuuuh",1,2023-07-05 21:22:30,"What's wrong with this apk? The apk is broken to be published for the benefit of the public. What's wrong with developers, why can't they do their job properly? This is an important apk, oh my."
Percuma tetap standby jika aplikasinya error' terus .. jadwal antrian tidak bisa diperolej,1,2023-07-05 16:56:02,It's no use staying on standby if the application keeps giving errors... the queue schedule cannot be obtained.
"Aplikasi bukan nya mempermudah untuk org"" Membuat atau perpanjang paspor.malah mempesulit kan saja. Selalu kuota penuh. Hampir setiap hari nya d periksa, tetap saja kuota penuh. Ya moga kedepan nya di buat dngan sistem yg komplit.termasuk pengambilan kuota ini. ..",1,2023-07-05 16:47:14,"The application does not make it easier for people to make or renew passports. Instead, it makes it more difficult. The quota is always full. Almost every day it is checked, the quota is still full. Hopefully in the future it will be made with a complete system, including taking this quota. .."
"Sdh byr, tgl booking sdh dekat, tp download surat pengantar ke kanim nya tdk bisa.. gmn ini aplikasi.. di hari h klo ditolak viralkan juga nih.. imigrasi sm m paspornya...",1,2023-07-05 15:24:22,"Already paid, the booking date is near, but I can't download the cover letter to the immigration office. What's the application like? If it's rejected on the day, make it viral too. Immigration and my passport..."
"Server Down RTO (Request timeout) mau lihat jadwal kapan datang ke kantor imigrasi jadi susah.. walaupun ada catatan di email. Agak sedikit aneh sistemnya, harus logout dulu.. baru login kembali, agar login normal.. yang penting pasport sudah jadi",5,2023-07-05 14:35:14,"Server Down RTO (Request timeout) want to see the schedule of when to come to the immigration office so it's difficult.. even though there is a note in the email. The system is a bit strange, you have to log out first.. then log back in, so that the login is normal.. the important thing is that the passport is ready"
Aplikasi sampah.hari gini sdh bikin mahal bikin aplikasi tp gak bisa masuk..yg email lah gak valid.hadeh..ini nih klo pemerintah yg bikin aplikasi gak pernah benar.mending dihapus diplay store.krn percuma.dah bbrp kali dimasukkan tuk buat paspor tp gagal,1,2023-07-05 13:43:42,Trash application. These days it's expensive to make an application but can't log in.. the email is invalid. Oh my.. this is what happens when the government makes an application and it never does anything right. It's better to delete it from the Play Store. Because it's useless. I've entered it several times to make a passport but it failed.
Aplikasi yg benar2 SAMPAH. Tidak bisa digunakan sama sekali. Mungkin biar diurus offline lagi trs calo muncul lagi. SAMPAH SEKALI.,1,2023-07-05 13:20:14,The application is really TRASH. Can't be used at all. Maybe let it be taken care of offline again and then the brokers will appear again. TOTAL TRASH.
Apk kwontol,1,2023-07-05 12:52:51,Apk kwontol
Kode otp selalu tidak valid. Mohon diperbaiki segera,1,2023-07-05 12:19:23,OTP code is always invalid. Please fix it immediately
Aplikasinya error neeh,2,2023-07-05 10:54:46,The application is in error
Email tidak valid terus gak bisa di pake tolong benerin lah saya kecewa dengan aplikasi ini kalo gak bisa d pake ngapain di bikin,1,2023-07-05 10:46:43,"The email is invalid and it can't be used. Please fix it. I'm disappointed with this application. If it can't be used, why make it?"
"Andai ada bintang setengah saya kasi, aplikasinya masih perlu perbaikan",1,2023-07-05 09:53:41,"If there was a half star I would give it, the application still needs improvement"
"email tidak valid mulu,giliran email diganti ,gantian no telfon sudah dipake pengguna lain,gajelas",1,2023-07-05 08:16:47,"email is always invalid, when the email is changed, when the phone number is changed it has been used by another user, it's unclear"
"Nyoba berkali kali tidak bisa, mohon arahan harus bagaimana??",1,2023-07-05 07:38:16,"Tried many times but couldn't, please give me some advice on what to do?"
"Aplikasi jelek sangat,saldo rekening sdh terpotong tp pengajuan blm terkonfirm dan expired,menghubungi kemanapun susah",1,2023-07-05 07:24:23,"The application is very bad, the account balance has been deducted but the application has not been confirmed and has expired, it is difficult to contact anyone"
"Dana aplikasi miliaran eh hasilnya kek gini, ga niat banget lah bikin aplikasinya dasar",2,2023-07-05 07:04:15,"The application funds are billions, but the results are like this, there's really no intention of making the application, basically"
"Tujuan aplikasi untuk mempermudah penggunanya, kalau apk masih banyak bug, erorr dll, malah nambah repot!",1,2023-07-05 06:24:55,"The purpose of the application is to make it easier for its users, if the apk still has lots of bugs, errors, etc., it will only make things more complicated!"
"Eror terus, bukannya mempermudah malah mempersulit",1,2023-07-05 06:21:44,"Error continues, instead of making it easier, it makes it more difficult"
aplikasi tdk berguna.bukan buat gampang tp mempersulit masyarakat.ga berguna sama sekali,1,2023-07-05 05:40:55,useless application. not to make things easier but to complicate things for the people. not useful at all
